7,Bowdoin,"Brown, Ben",15,15,1206,0,1,10,7,3,0
31,Bowdoin,"Cabral, Ronaldo",11,3,361,0,1,17,7,1,0
1,Bowdoin,"Webber, Michael",8,8,720,0,1,0,0,0,0
27,Bowdoin,"Alexander, Noah",4,0,40,0,0,0,0,0,0
5,Bowdoin,"Bae, Brian",2,1,90,0,0,0,0,0,0
22,Bowdoin,"Cardia, Xander",9,1,348,0,0,8,2,1,0
12,Bowdoin,"Donlan, Ryan",14,12,1203,0,0,6,1,1,0
23,Bowdoin,"Griesman, Grant",1,0,7,0,0,0,0,0,0
2,Bowdoin,"Kelsey, Nate",4,0,37,0,0,5,4,0,0
24,Bowdoin,"Kingston, Chris",10,8,763,0,0,0,0,0,0
16,Bowdoin,"Macaione, Luke",11,3,438,0,0,3,1,1,0
30,Bowdoin,"Matthews, Cole",4,1,170,0,0,0,0,0,0
20,Bowdoin,"Paul, Joe",4,0,74,0,0,4,0,0,0
28,Bowdoin,"Phillips, Drew",11,2,272,0,0,3,0,1,0
6,Bowdoin,"Selig, Jack",10,7,608,0,0,0,0,0,0
18,Bowdoin,"Ward, Matt",9,6,422,0,0,1,0,0,0
14,Bowdoin,"Weatherall, Hayden",3,0,39,0,0,0,0,0,0
8,Connecticut College,"Jaran, Rye",17,11,1065,5,5,30,15,1,0
17,Connecticut College,"Creus, Jake",16,3,601,4,2,31,13,1,0
14,Connecticut College,"Djerdjaj, Augie",14,11,990,4,2,38,15,1,0
12,Connecticut College,"Gehron, Jake",18,6,783,5,0,27,13,1,0
25,Connecticut College,"Yeonas, Steve",19,19,1591,4,2,28,15,0,0
10,Connecticut College,"Robles, Alex",19,13,878,2,4,23,9,0,0
9,Connecticut College,"Tshuma, MT",15,13,822,3,0,36,16,3,0
24,Connecticut College,"Kelesoglu, Jack",18,17,1398,2,1,16,8,3,0
13,Connecticut College,"Scoffone, Matt",13,7,681,1,3,16,8,0,0
4,Connecticut College,"Mendo, Jorge",16,11,896,0,3,2,0,1,0
30,Connecticut College,"Doyle, Bruce",19,7,782,0,2,3,1,1,0
6,Connecticut College,"Horvath Diano, Alessandro",12,11,836,0,2,6,1,1,0
15,Connecticut College,"Scales, Aiden",4,1,127,1,0,1,1,0,0
2,Connecticut College,"Viotto, Jordan",16,3,462,1,0,2,1,0,0
7,Connecticut College,"Zane, Dylan",11,0,258,0,2,4,1,1,0
11,Connecticut College,"Cibelli, Luke",16,2,416,0,1,6,2,1,0
18,Connecticut College,"Marvel, Jack",19,12,848,0,1,18,7,0,0
16,Connecticut College,"Bocchetti, Lorenzo",19,19,1536,0,0,13,2,5,0
3,Connecticut College,"Boehm, Sam",1,0,45,0,0,0,0,0,0
20,Connecticut College,"Byne, Kjartan",6,0,139,0,0,0,0,0,0
5,Connecticut College,"Cerezo, Marco",20,12,1263,0,0,8,3,1,0
23,Connecticut College,"Clare, Brendan",7,1,255,0,0,1,0,0,0
6,Connecticut College,"D, Alessandro horvath",2,1,129,0,0,1,0,0,0
50,Connecticut College,"Despines, Manoli",2,1,98,0,0,0,0,0,0
19,Connecticut College,"Diane, Oury",4,0,104,0,0,2,0,1,0
21,Connecticut College,"Dutkewych, Roman",12,10,859,0,0,6,3,1,0
6,Connecticut College,"Horvath-diano, A",1,1,49,0,0,0,0,0,0
26,Connecticut College,"Lavorel, Jack",6,1,88,0,0,1,0,0,0
0,Connecticut College,"Maidenberg, Sam",18,17,1557,0,0,0,0,1,0
28,Connecticut College,"Pinyochon, Oliver",6,2,249,0,0,0,0,0,0
13,Connecticut College,"Scaffone, Matt",1,1,57,0,0,1,0,0,0
1,Connecticut College,"Silvester, Peter",4,1,120,0,0,0,0,0,0
0,Bates,"David, Bruce",8,7,644,0,0,0,0,0,0
1,Bates,"Antolini, Luca",7,2,262,0,0,0,0,0,0
2,Bates,"Niehe, Juan-sebastian",8,3,621,0,0,4,1,0,0
3,Bates,"Thomas, Amir",15,9,822,0,0,7,4,0,0
4,Bates,"Peter, James",15,15,1238,0,1,6,4,1,0
5,Bates,"McKersie, Max",15,15,1106,0,2,9,5,1,0
6,Bates,"Hohmann, Freddy",12,11,677,0,0,6,1,1,0
7,Bates,"Phillips, Justin",10,9,569,0,2,5,3,1,0
8,Bates,"Keleher, Owen",15,14,963,6,3,45,17,1,0
9,Bates,"Lolas, Jose Ignacio",2,0,24,0,0,4,0,0,0
10,Bates,"Szwarcewicz, Alec",15,12,931,5,1,25,14,1,0
11,Bates,"Cronin, Charlie",13,3,232,2,1,12,5,0,0
12,Bates,"Clarke, Simon",15,9,752,1,0,8,4,3,0
13,Bates,"McShane, Owen",2,0,67,0,0,0,0,0,0
14,Bates,"O'Connor, John",7,0,49,0,0,1,0,0,0
15,Bates,"Bardong, Ciaran",14,3,300,0,1,6,3,1,0
16,Bates,"Guerrier, Myles",6,0,112,0,0,3,2,0,0
17,Bates,"Dall, Bobby",13,9,801,0,2,1,0,2,0
18,Bates,"Kovacs, Alex",13,13,1005,0,0,1,0,0,0
19,Bates,"Iwowo, Jacob",15,6,666,0,0,3,1,1,0
20,Bates,"Lane, Rex",14,3,470,4,0,14,7,1,0
21,Bates,"Costa Farre, Gerard",11,1,218,2,1,6,3,0,0
23,Bates,"Welch, Rawson",11,2,460,0,0,10,1,0,0
24,Bates,"Elsasser, Max",5,1,119,1,0,5,2,0,0
25,Bates,"Ah Chu, Rex",1,0,54,0,0,0,0,0,0
26,Bates,"Sheehan, Joost",3,0,82,0,0,1,0,0,0
27,Bates,"Protti, Luke",11,1,262,0,0,4,2,0,0
29,Bates,"Agunloye, Tife",15,5,415,1,2,18,7,0,0
30,Bates,"Hadley, Adrian",3,0,93,0,0,0,0,0,0
31,Bates,"Assantha, Sam",14,3,322,1,1,12,6,1,0
32,Bates,"Euston, Chris",1,0,45,0,0,0,0,0,0
33,Bates,"Kuenstler, Henry",5,0,95,0,0,2,1,1,0
35,Bates,"Pappas, Charlie",3,0,18,0,0,0,0,1,0
99,Bates,"Manning, Ryan",6,6,450,0,0,0,0,0,0
9,Wesleyan,"Harmaty, Dane",15,13,961,4,3,26,12,3,0
8,Wesleyan,"Rubinstein, Matthew",15,13,894,4,1,24,13,4,0
10,Wesleyan,"Ruehlemann, Lucas",16,15,1108,1,7,42,18,1,0
12,Wesleyan,"Wheeler, Zach",15,5,747,2,4,24,10,0,0
6,Wesleyan,"Wallick, Nick",16,16,1374,2,3,4,3,2,0
21,Wesleyan,"Textor, Christopher",16,15,609,3,0,11,6,1,0
5,Wesleyan,"O'Brien, Evan",14,13,1103,2,1,8,3,0,0
4,Wesleyan,"Hartzfeld, Noah",15,1,509,2,0,9,4,2,0
20,Wesleyan,"Burbage, Kyle",11,0,266,1,1,10,5,1,0
26,Wesleyan,"Porte, Chris",13,10,993,1,1,10,3,1,0
27,Wesleyan,"Burd, Zack",10,2,297,1,0,8,3,1,0
3,Wesleyan,"Hofstetter, Max",8,0,335,1,0,5,2,2,0
7,Wesleyan,"Kelsch, Tucker",16,5,624,1,0,9,5,2,0
24,Wesleyan,"Kimball, Lucas",16,13,1040,0,2,10,5,2,0
29,Wesleyan,"Singh, Tegh",2,0,61,1,0,2,2,0,0
31,Wesleyan,"Ansel-Mullen, Joseph",8,0,164,0,1,1,1,0,0
2,Wesleyan,"Keenan, Sam",7,4,308,0,1,2,1,0,0
18,Wesleyan,"Lundberg, Jake",10,0,193,0,1,1,1,0,0
16,Wesleyan,"Barrett, Ethan",10,1,187,0,0,5,2,0,0
13,Wesleyan,"Campbell, Colin",2,0,32,0,0,0,0,0,0
11,Wesleyan,"Clarke, Oliver",14,14,1196,0,0,6,1,2,1
14,Wesleyan,"Davisson, Mason",15,13,1020,0,0,2,2,1,0
0,Wesleyan,"Devanny, Liam",16,16,1487,0,0,0,0,0,0
15,Wesleyan,"Donovan, Steven",6,0,86,0,0,3,1,0,0
30,Wesleyan,"Galleno, Nicolas",2,0,13,0,0,0,0,0,0
22,Wesleyan,"Goodwin, Matthew",3,1,114,0,0,0,0,0,0
28,Wesleyan,"Hardison, Will",1,0,14,0,0,0,0,0,0
17,Wesleyan,"Lambke, Miles",11,6,786,0,0,1,0,0,0
33,Wesleyan,"Van Lonkhuyzen, Evan",2,0,24,0,0,0,0,0,0
25,Wesleyan,"Tollis, Soren",2,0,30,0,0,2,1,0,0
0,Colby,"McCarthy, Brendan",6,4,527,0,0,0,0,0,0
1,Colby,"Jackson, Noah",9,8,620,0,0,0,0,0,0
10,Colby,"Lemire, Nicholas",17,14,953,0,0,8,5,0,0
11,Colby,"Hawkins, Paul",17,11,832,3,2,16,10,1,0
12,Colby,"Traore, Arkam",10,1,276,0,0,1,1,0,0
13,Colby,"Morin, Matt",2,1,33,0,0,0,0,0,0
14,Colby,"Pugh, Graham",10,8,717,0,0,3,1,1,0
15,Colby,"Seaman, Eric",2,0,44,0,1,1,0,0,0
17,Colby,"Fletcher, Jack",16,12,954,0,0,4,1,0,0
18,Colby,"Farner, Max",11,0,271,1,0,7,2,0,0
